,title,name,type,img
80,Historical Figures (1st Millenium BCE),Spartacus,ISTP,https://www.personality-database.com/profile_images/48550.png
81,Historical Figures (1900s),Grand Duchess Maria,ESFJ,https://www.personality-database.com/profile_images/55087.png
82,Historical Figures (300's),Constantine I the Great,ENTJ,https://www.personality-database.com/profile_images/36079.png
83,Historical Figures (1st Millenium BCE),Qin Shi Huang,ENTJ,https://www.personality-database.com/profile_images/36934.png
84,Historical Figures (100's),Trajan,INTJ,https://www.personality-database.com/profile_images/16065.png
85,Historical Figures (1900s),Simo Häyhä,ISTP,https://www.personality-database.com/profile_images/73958.png
86,Historical Figures (1st Millenium BCE),Mark Antony,ESFP,https://www.personality-database.com/profile_images/39537.png
87,Historical Figures (1900s),Amelia Earhart,ISTP,https://www.personality-database.com/profile_images/40457.png
88,Historical Figures (1300s),Marco Polo,ENTP,https://www.personality-database.com/profile_images/26383.png
89,Historical Figures (1200s),Subutai,ISTP,https://www.personality-database.com/profile_images/41732.png
90,Historical Figures (1900s),Adolf Eichmann,ISTJ,https://www.personality-database.com/profile_images/16254.png
91,Historical Figures (1100s),Henry II of England,ENTJ,https://www.personality-database.com/profile_images/42960.png
92,Historical Figures (1700s),Charles-Maurice de Talleyrand-Périgord,ENTP,https://www.personality-database.com/profile_images/56748.png
93,Historical Figures (1500s),"Charles V, Holy Roman Emperor",ENTJ,https://www.personality-database.com/profile_images/3182.png
94,Historical Figures (1800s),Frederick Douglass,INFJ,https://www.personality-database.com/profile_images/29498.png
95,Historical Figures (1800s),Harriet Tubman,INFP,https://www.personality-database.com/profile_images/29499.png
96,Historical Figures (1700s),Louis XVI of France,ISFP,https://www.personality-database.com/profile_images/69677.png
97,Historical Figures (1900s),Oswald Mosley,INTJ,https://www.personality-database.com/profile_images/48427.png
98,Historical Figures (1800s),Ludwig II of Bavaria,INFP,https://www.personality-database.com/profile_images/33993.png
99,Historical Figures (1500s),Mary I of England “Bloody Mary”,ISFJ,https://www.personality-database.com/profile_images/42977.png
100,Historical Figures (1900s),Robert F. Kennedy,ENFJ,https://www.personality-database.com/profile_images/29504.png
101,Historical Figures (1800s),Wilhelm II,ESTP,https://www.personality-database.com/profile_images/6140.png
102,Historical Figures (1600s),Christina of Sweden,ENFP,https://www.personality-database.com/profile_images/93485.png
103,Historical Figures (1900s),Sukarno,ENFJ,https://www.personality-database.com/profile_images/15833.png
